,abbr,address,buildingID,category,distance,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone
0,CPP,"TOWER PARKWAY,120",196,Power Plants,99.0,1425,78416,41.313039,-72.928887,CENTRAL POWER PLANT,68267,"1425 CENTRAL POWER PLANT TOWER PARKWAY,120  CENTRAL POWER PLANT CPP 120 TOWER PARKWAY TOWER PKWY, 120 CENTRAL POWER PLANT - CPP",CEN,ZONE 4
1,SPP,"CONGRESS AVENUE, 309",398,Power Plants,99.0,3160,54410,41.30302,-72.932705,STERLING POWER PLANT,48865,"3160 STERLING POWER PLANT CONGRESS AVENUE, 309  STERLING POWER PLANT SPP 309 CONGRESS AVENUE CONGRESS AVE, 309 STERLING POWER PLANT - SPP",MED,MEDICAL
2,AKW,"PROSPECT STREET,  51",218,Served By CPP,99.0,1530,52634,41.313064,-72.924933,A.K. WATSON HALL,41679,"1530 A.K. WATSON HALL PROSPECT STREET,  51 SHEFFIELD CHEM LAB; SHEFFIELD LAB OF ENG. MECH. WATSON HALL, ARTHUR K. AKW 51 PROSPECT STREET PROSPECT ST,  51 A.K. WATSON HALL",CEN,ZONE 2
3,ALW,"HILLHOUSE AVENUE, 31",148,Served By CPP,99.0,1125,7433,41.313919,-72.923116,ALLWIN HALL,6369,"1125 ALLWIN HALL HILLHOUSE AVENUE, 31 ABIGAIL WHELPLEY HOUSE ALLWIN HALL ALW 31 HILLHOUSE AVENUE HILLHOUSE AVE, 31 ",CEN,ZONE 2
4,ARN,"ELM STREET, 304",4788,Served By CPP,99.0,2403,26159,41.311041,-72.93145,ARNOLD HALL,20850,"2403 ARNOLD HALL ELM STREET, 304  ROBERT M. ARNOLD HALL ARN 304 ELM STREET ELM ST, 304 ",CEN,ZONE 4
5,BAKER,"TOWER PARKWAY,100",195,Served By CPP,99.0,1413,137443,41.313749,-72.929123,BAKER HALL,113722,"1413 BAKER HALL TOWER PARKWAY,100 NEW RESIDENCE HALL/ASHMUN STREET, 40 ROBERT C & CHRISTINA BAKER HALL AT YALE LAW SCHOOL BAKER 100 TOWER PARKWAY TOWER PKWY,100 NEW RESIDENCE HALL",CEN,ZONE 4
6,BASS,"WHITNEY AVENUE, 266",120,Served By CPP,99.0,1030,91153,41.318122,-72.921837,BASS CENTER,77425,"1030 BASS CENTER WHITNEY AVENUE, 266  NANCY LEE & PERRY R. BASS CENTER FOR ... BASS 266 WHITNEY AVENUE WHITNEY AVE, 266 BASS CENTER MOLECULAR & STRUCTURAL BIOLOGY - MBB",CEN,ZONE 1
7,BASSLB,"WALL STREET, 110",280,Served By CPP,99.0,2045,64505,41.310685,-72.927608,BASS LIBRARY,55650,"2045 BASS LIBRARY WALL STREET, 110 CROSS CAMPUS LIBRARY - CCL ANNE T. & ROBERT M. BASS LIBRARY BASSLB 110 WALL STREET WALL ST, 110 CROSS CAMPUS LIBRARY - CCL",CEN,ZONE 3
8,BATTELL,"COLLEGE STREET, 400",351,Served By CPP,99.0,2610,28097,41.309372,-72.927515,BATTELL CHAPEL,22782,"2610 BATTELL CHAPEL COLLEGE STREET, 400  BATTELL CHAPEL, JOSEPH BATTELL 400 COLLEGE STREET COLLEGE ST, 400 JOSEPH BATTELL CHAPEL",CEN,ZONE 3
9,BCT,"PROSPECT STREET,  15",217,Served By CPP,99.0,1525,141973,41.312583,-72.925221,BECTON E&AS CENTER,119984,"1525 BECTON E&AS CENTER PROSPECT STREET,  15  BECTON ENGINEERING AND APPLIED SCIENCE CENTER, HENRY P. BCT 15 PROSPECT STREET PROSPECT ST,  15 BECTON ENG & APPLIED SCIENCE CENTER - BC - E&AS",CEN,ZONE 1
