id,abbr,address,buildingID,category,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone,count
685,AMISB,"AMISTAD STREET, 10",4723,YSM Laboratories,3070,120896,41.300163,-72.931774,AMISTAD STREET BUILDING,0,"3070 AMISTAD STREET BUILDING AMISTAD STREET, 10  AMISTAD STREET BUILDING AMISB 10 AMISTAD STREET AMISTAD ST, 10 ",MED,MEDICAL,1
398,AARFB,"OLD AMITY ROAD, 48",4768,Not Served by Yale Plants,4023,3580,41.402139,-72.999511,AMITY AN FARM BLDG B RAZED,0,"4023 AMITY AN FARM BLDG B RAZED OLD AMITY ROAD, 48  AMITY ANIMAL RES FARM BLDG B RAZED AARFB   ",CT,MEDICAL,1
399,ARMORY,"CENTRAL AVENUE, 70",443,Not Served by Yale Plants,3720,64626,41.311491,-72.964673,ARMORY AND STABLES,58891,"3720 ARMORY AND STABLES CENTRAL AVENUE, 70  POLO AND EQUESTRIAN CENTER ARMORY 70 CENTRAL AVENUE CENTRAL AVE, 70 POLO & EQUESTRIAN CENTER ARMORY & STABLES",ATH,ZONE 5,1
400,BETHOBSV,"HILLDALE ROAD, 111",456,Not Served by Yale Plants,3825,7816,0,0,BETHANY OBSERVATORY,0,"3825 BETHANY OBSERVATORY HILLDALE ROAD, 111  BETHANY OBSERVATORY BETHOBSV 111 HILLDALE ROAD HILLDALE RD, 111 BETHANY OBSERVATORY",CT,ZONE 5,1
401,BPR2489,"BOSTON POST ROAD, 2489",5039,Not Served by Yale Plants,4119,1200,0,0,"BOSTON POST RD, 2489 CLOSED",0,"4119 BOSTON POST RD, 2489 CLOSED BOSTON POST ROAD, 2489  BOSTON POST ROAD, 2489 NO LONGER LEASED BPR2489   ",CT,LEASED,1
402,BRWY29,"BROADWAY, 29-45",291,Not Served by Yale Plants,2125,24621,41.311257,-72.930506,"BROADWAY, 29-45",0,"2125 BROADWAY, 29-45 BROADWAY, 29-45  BROADWAY, 29 - 45 BRWY29 29-45 BROADWAY BROADWAY, 29 29 BROAD",CEN,LEASED,1
403,BRWY35,"BROADWAY, 35",292,Not Served by Yale Plants,2130,9565,41.311345,-72.930603,"BROADWAY, 35",8349,"2130 BROADWAY, 35 BROADWAY, 35  BROADWAY, 35 BRWY35 35 BROADWAY BROADWAY, 35 37 BROADWAY",CEN,LEASED,1
404,CHDC,"HIGHLAND STREET, 150",23,Not Served by Yale Plants,110,9289,41.328181,-72.920866,CALVIN HILL DAY CARE,8152,"0110 CALVIN HILL DAY CARE HIGHLAND STREET, 150  CALVIN HILL  DAYCARE CENTER CHDC 150 HIGHLAND STREET HIGHLAND ST, 150 CALVIN HILL DAYCARE CENTER",CEN,ZONE 2,1
405,CS,"PROSPECT STREET, 871",26,Not Served by Yale Plants,200,15585,41.335173,-72.918663,CEDARHURST SCHOOL,0,"0200 CEDARHURST SCHOOL PROSPECT STREET, 871  CEDARHURST SCHOOL CS 871 PROSPECT STREET PROSPECT ST, 871 CEDARHURST SCHOOL - CS",CEN,ZONE 2,1
406,CCCP,"WINCHESTER AVENUE, 330",4990,Not Served by Yale Plants,645,47092,41.323174,-72.929666,CEN CAMPUS CHILLER PLT,43839,"0645 CEN CAMPUS CHILLER PLT WINCHESTER AVENUE, 330 SCIENCE AREA CHILLER PLANT CENTRAL CAMPUS CHILLER PLANT CCCP 330 WINCHESTER AVENUE WINCHESTER AVE, 330 ",CEN,ZONE 2,1
